Index,Onshore/Offshore
0,OFFSHORE
1,ONSHORE
2,OFFSHORE
3,ONSHORE
4,ONSHORE-OFFSHORE
5,ONSHORE
6,OFFSHORE
7,ONSHORE
8,ONSHORE
9,OFFSHORE
10,OFFSHORE
11,ONSHORE
12,OFFSHORE
13,ONSHORE
14,ONSHORE
15,ONSHORE
16,OFFSHORE
17,ONSHORE
18,ONSHORE
19,OFFSHORE
20,ONSHORE
21,ONSHORE
22,ONSHORE
23,OFFSHORE
24,OFFSHORE
25,ONSHORE
26,OFFSHORE
27,ONSHORE
28,OFFSHORE
29,ONSHORE
30,OFFSHORE
31,OFFSHORE
32,OFFSHORE
33,OFFSHORE
34,ONSHORE
35,ONSHORE
36,OFFSHORE
37,OFFSHORE
38,ONSHORE
39,OFFSHORE
40,ONSHORE
41,ONSHORE
42,OFFSHORE
43,ONSHORE
44,ONSHORE
45,OFFSHORE
46,OFFSHORE
47,ONSHORE
48,ONSHORE
49,OFFSHORE
50,ONSHORE
51,OFFSHORE
52,ONSHORE
53,OFFSHORE
54,OFFSHORE
55,OFFSHORE
56,ONSHORE
57,OFFSHORE
58,OFFSHORE
59,OFFSHORE
60,ONSHORE
61,ONSHORE
62,OFFSHORE
63,OFFSHORE
64,OFFSHORE
65,ONSHORE
66,OFFSHORE
67,OFFSHORE
68,OFFSHORE
69,ONSHORE
70,ONSHORE
71,ONSHORE
72,OFFSHORE
73,ONSHORE-OFFSHORE
74,ONSHORE-OFFSHORE
75,ONSHORE-OFFSHORE
76,ONSHORE-OFFSHORE
77,OFFSHORE
78,ONSHORE-OFFSHORE
79,ONSHORE-OFFSHORE
80,OFFSHORE
81,ONSHORE-OFFSHORE
82,ONSHORE-OFFSHORE
83,OFFSHORE
84,ONSHORE-OFFSHORE
85,OFFSHORE
86,ONSHORE-OFFSHORE
87,OFFSHORE
88,ONSHORE-OFFSHORE
89,ONSHORE-OFFSHORE
90,ONSHORE-OFFSHORE
91,OFFSHORE
92,ONSHORE-OFFSHORE
93,ONSHORE-OFFSHORE
94,ONSHORE-OFFSHORE
95,ONSHORE-OFFSHORE
96,ONSHORE-OFFSHORE
97,ONSHORE-OFFSHORE
98,ONSHORE-OFFSHORE
99,ONSHORE-OFFSHORE
100,ONSHORE-OFFSHORE
101,ONSHORE-OFFSHORE
102,ONSHORE-OFFSHORE
103,ONSHORE-OFFSHORE
104,OFFSHORE
105,OFFSHORE
106,OFFSHORE
107,ONSHORE-OFFSHORE
108,ONSHORE-OFFSHORE
109,OFFSHORE
110,ONSHORE-OFFSHORE
111,ONSHORE-OFFSHORE
112,ONSHORE-OFFSHORE
113,OFFSHORE
114,ONSHORE-OFFSHORE
115,ONSHORE-OFFSHORE
116,ONSHORE-OFFSHORE
117,OFFSHORE
118,ONSHORE-OFFSHORE
119,OFFSHORE
120,ONSHORE-OFFSHORE
121,OFFSHORE
122,ONSHORE-OFFSHORE
123,ONSHORE-OFFSHORE
124,ONSHORE-OFFSHORE
125,ONSHORE-OFFSHORE
126,OFFSHORE
127,OFFSHORE
128,ONSHORE-OFFSHORE
129,ONSHORE-OFFSHORE
130,ONSHORE-OFFSHORE
131,ONSHORE-OFFSHORE
132,ONSHORE-OFFSHORE
133,ONSHORE-OFFSHORE
134,ONSHORE-OFFSHORE
135,ONSHORE-OFFSHORE
136,OFFSHORE
137,ONSHORE-OFFSHORE
138,ONSHORE-OFFSHORE
139,OFFSHORE
140,ONSHORE-OFFSHORE
141,ONSHORE-OFFSHORE
142,OFFSHORE
143,ONSHORE-OFFSHORE
144,ONSHORE-OFFSHORE
145,OFFSHORE
146,OFFSHORE
147,ONSHORE-OFFSHORE
148,ONSHORE-OFFSHORE
149,OFFSHORE
150,ONSHORE-OFFSHORE
151,ONSHORE-OFFSHORE
152,ONSHORE-OFFSHORE
153,ONSHORE-OFFSHORE
154,ONSHORE-OFFSHORE
155,ONSHORE-OFFSHORE
156,ONSHORE-OFFSHORE
157,ONSHORE-OFFSHORE
158,OFFSHORE
159,ONSHORE-OFFSHORE
